,date,time,task
77,02/21/22,2:35,"(9:20 am - 10:05 am, 12:00 pm - 1:00 pm, 2:10 pm - 3:00 pm) 100 Days of Code, Day 12"
78,02/22/22,3:30,Refactoring some code (4:30 - 6:00 pm)
79,02/23/22,3:05,"(9:15 am - 10:00 am, 12:00 pm - 1:00 pm, 4:50 pm - 6:10 pm)"
80,02/24/22,3:15,"(9:15 am - 10:15 am, 12:25 pm - 1:05 pm, 2:15 pm - 2:50 pm, 4:10 pm - 5:10 pm)"
81,02/25/22,4:00,Higher-Lower Game refactoring
82,02/26/22,2:00,"(9:40 am - 10:40 am, 11:00 am - 12:40 pm)"
83,02/27/22,3:00,"(10:00 am - 12:00 pm, 12:30 pm - 1:30 pm)"
84,02/28/22,1:50,"(9:25 am - 10:05 am, 12:05 pm - 1:15 pm)"
85,03/01/22,3:35,"(9:15 am - 10:10 am, 12:00 pm - 1:00 pm, 4:15 pm - 5:55 pm)"
86,03/02/22,4:15,"(7:40 am - 8:05 am, 8:35 am - 9:00 am, 10:15 am - 10:50 am, 12:40 pm - 1:50 pm, 2:15 pm - 2:55 pm, 3:45 pm - 4:45 pm)"
87,03/03/22,4:30,"(7:40 am - 8:15 am, 10:15 am - 11:00 am, 11:10 am - 12:20 pm, 1:00 pm - 3:00  pm)"
88,03/04/22,5:00,Various times
89,03/07/22,2:45,"(10:30 am - 11:00 am, 11:10 am - 11:55 am, 12:40 pm - 2:10 pm)"
90,03/09/22,2:15,"(9:20 am - 10:05 am, 12:05 pm - 12:55 pm, 2:10 pm - 2:50 pm)"
91,03/14/22,2:00,"(7:00 am - 7:25 am, 9:15 am - 10:10 am, 12:30 pm - 1:10 pm)"
92,03/15/22,4:00,"9:20 am - 10:15 am, 12:30 pm - 1:10 pm, 2:05 pm - 2:50 pm, 4:05 pm - 5:45 pm)"
93,03/16/22,2:00,"11:50 am - 1:10 pm, 2:10 pm - 2:45 pm)"
94,03/17/22,2:45,"9:15 am - 10:10 am, 12:00 pm - 1:15 pm, 2:10 pm - 2:45 pm"
95,03/18/22,2:20,"9:30 am - 10:15 am, 12:00 pm - 1:10 am, 2:10 pm - 2:35 pm"
96,03/21/22,2:50,"9:10 am - 10:00 am, 12:05 pm - 1:15 pm, 2:10 pm - 3:00 pm"
97,03/22/22,2:35,"9:15 am - 10:10 am, 11:40 pm - 12:00 pm, 12:15 pm - 1:15 pm "
98,03/24/22,2:15,"9:10 am - 10:10 am, 10:40 am - 11:05 am, 12:30 pm - 1:10 pm, 2:00 pm - 2:45 pm"
99,03/25/22,3:00,"9:20 am - 10:20 am, 12:05 pm - 1:05 pm, 1:50 pm - 2:50 pm"
100,03/28/22,1:30,"1:00 pm - 1:30 pm, 3:30 pm - 4:30 pm"
101,03/29/22,2:10,"9:15 am - 10:15 am, 12:00 pm - 1:10 pm"
102,03/31/22,1:45,"9:15 am - 10:00 am, 12:15 pm - 1:15 pm"
103,04/01/22,2:15,"9:25 am - 10:15 am, 12:25 pm - 1:10 pm, 2:10 pm - 2:50 pm"
104,04/04/22,3:35,"9:10 am - 10:30 am, 12:00 pm - 1:15 pm, 2:20 pm - 3:00 pm"
105,04/05/22,2:20,"9:20 am - 10:00 am, 12:00 pm - 1:10 pm, 2:10 pm - 2:40 pm"
106,2022-04-06,2:20,Worked on Programming Log CSV functions
107,2022-04-07,1:45,Programming log functions
